Revenues,Revenues
Total Items Sold,Total Items Sold
Total Orders,Total Orders
Date,Date
id,id
Totals,Totals
invalid request,invalid request
see error log for details,see error log for details
Service unavailable,Service unavailable
Marketplace Seller Report Dashboard,Marketplace Seller Report Dashboard
Marketplace Advance Report System,Marketplace Advance Report System
January,January
February,February
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
Advance Report,Advance Report
Sales and Orders,Sales and Orders
Choose categories,Choose categories
Choose Order Status,Choose Order Status
Generate Reports,Generate Reports
Day,Day
Week,Week
Month,Month
Year,Year
Start On Date,Start On Date
End On Date,End On Date
Filter Result,Filter Result
Top On Charts,Top On Charts
Sales By GeoLocation,Sales By GeoLocation
Top Selling Products,Top Selling Products
Best Customers,Best Customers
Customer,Customer
Date Of Registration,Date Of Registration
Last Purchase Date,Last Purchase Date
Total Orders,Total Orders
Total Spendings,Total Spendings
Select Seller,Select Seller
Start date must be prior than end date.,Start date must be prior than end date.
Choose categories (%1), Choose categories (%1)
Choose Order Status (%1),Choose Order Status (%1)